date,publisher,candidate,count
2020-03-01,NewYorkTimes,Trump,42
2020-03-02,Buzzfeed,Trump,670
2020-03-02,NewYorkTimes,Trump,372
2020-03-03,Buzzfeed,Trump,170
2020-03-04,Buzzfeed,Trump,200
2020-03-04,Fox,Trump,35
2020-03-05,Buzzfeed,Trump,70
2020-03-05,Fox,Trump,14
2020-03-06,AP,Trump,150
2020-03-06,Breitbart,Trump,168
2020-03-06,Buzzfeed,Trump,10
2020-03-06,Fox,Trump,0
2020-03-06,NewYorkTimes,Trump,7
2020-03-07,AP,Trump,606
2020-03-07,Breitbart,Trump,158
2020-03-07,Buzzfeed,Trump,0
2020-03-07,Fox,Trump,49
2020-03-07,NBC,Trump,279
2020-03-07,NewYorkTimes,Trump,777
2020-03-08,AP,Trump,246
2020-03-08,Breitbart,Trump,126
2020-03-08,Fox,Trump,245
2020-03-08,NBC,Trump,162
2020-03-08,NewYorkTimes,Trump,434
2020-03-09,AP,Trump,504
2020-03-09,Breitbart,Trump,88
2020-03-09,Buzzfeed,Trump,90
2020-03-09,Fox,Trump,679
2020-03-09,NBC,Trump,423
2020-03-09,NewYorkTimes,Trump,735
2020-03-10,AP,Trump,1180
2020-03-10,Buzzfeed,Trump,170
2020-03-10,Fox,Trump,329
2020-03-10,NBC,Trump,261
2020-03-10,NewYorkTimes,Trump,28
2020-03-11,AP,Trump,714
2020-03-11,Buzzfeed,Trump,60
2020-03-11,Fox,Trump,84
2020-03-11,NBC,Trump,576
2020-03-12,AP,Trump,1326
2020-03-12,Breitbart,Trump,160
2020-03-12,Buzzfeed,Trump,280
2020-03-12,Fox,Trump,378
2020-03-12,NBC,Trump,1026
2020-03-12,NewYorkTimes,Trump,336
2020-03-13,AP,Trump,462
2020-03-13,Breitbart,Trump,200
2020-03-13,Buzzfeed,Trump,590
2020-03-13,Fox,Trump,651
2020-03-13,NBC,Trump,792
2020-03-13,NewYorkTimes,Trump,938
2020-03-13,Politico,Trump,1442
2020-03-13,WashingtonTimes,Trump,414
2020-03-14,AP,Trump,750
2020-03-14,Breitbart,Trump,100
2020-03-14,Buzzfeed,Trump,0
2020-03-14,Fox,Trump,637
2020-03-14,NBC,Trump,459
2020-03-14,NewYorkTimes,Trump,2303
2020-03-14,Politico,Trump,1211
2020-03-14,WashingtonTimes,Trump,171
2020-03-15,AP,Trump,300
2020-03-15,Breitbart,Trump,54
2020-03-15,Buzzfeed,Trump,0
2020-03-15,Fox,Trump,140
2020-03-15,NBC,Trump,585
2020-03-15,NewYorkTimes,Trump,252
2020-03-15,Politico,Trump,273
2020-03-15,WashingtonTimes,Trump,531
2020-03-16,AP,Trump,612
2020-03-16,Breitbart,Trump,188
2020-03-16,Buzzfeed,Trump,90
2020-03-16,Fox,Trump,474
2020-03-16,NBC,Trump,567
2020-03-16,NewYorkTimes,Trump,560
2020-03-16,Politico,Trump,980
2020-03-16,WashingtonTimes,Trump,756
2020-03-17,AP,Trump,1128
2020-03-17,Breitbart,Trump,286
2020-03-17,Buzzfeed,Trump,40
2020-03-17,Fox,Trump,726
2020-03-17,NBC,Trump,459
2020-03-17,NewYorkTimes,Trump,462
2020-03-17,Politico,Trump,896
2020-03-17,WashingtonTimes,Trump,1080
2020-03-18,AP,Trump,1332
2020-03-18,Breitbart,Trump,310
2020-03-18,Buzzfeed,Trump,300
2020-03-18,Fox,Trump,1078
2020-03-18,NBC,Trump,433
2020-03-18,NewYorkTimes,Trump,287
2020-03-18,Politico,Trump,1029
2020-03-18,WashingtonTimes,Trump,981
2020-03-19,AP,Trump,1626
2020-03-19,Breitbart,Trump,236
2020-03-19,Buzzfeed,Trump,40
2020-03-19,Fox,Trump,889
2020-03-19,NBC,Trump,695
2020-03-19,NewYorkTimes,Trump,392
2020-03-19,Politico,Trump,2296
2020-03-19,WashingtonTimes,Trump,649
2020-03-20,AP,Trump,1812
2020-03-20,Breitbart,Trump,440
2020-03-20,Buzzfeed,Trump,208
2020-03-20,Fox,Trump,1281
2020-03-20,NBC,Trump,1749
2020-03-20,NewYorkTimes,Trump,280
2020-03-20,Politico,Trump,1932
2020-03-20,WashingtonTimes,Trump,320
2020-03-21,AP,Trump,804
2020-03-21,Breitbart,Trump,130
2020-03-21,Buzzfeed,Trump,120
2020-03-21,Fox,Trump,343
2020-03-21,NBC,Trump,289
2020-03-21,NewYorkTimes,Trump,280
2020-03-21,Politico,Trump,854
2020-03-21,WashingtonTimes,Trump,223
2020-03-22,AP,Trump,817
2020-03-22,Breitbart,Trump,119
2020-03-22,Fox,Trump,444
2020-03-22,NBC,Trump,515
2020-03-22,NewYorkTimes,Trump,252
2020-03-22,Politico,Trump,1809
2020-03-22,WashingtonTimes,Trump,923
2020-03-23,AP,Trump,900
2020-03-23,Breitbart,Trump,124
2020-03-23,Buzzfeed,Trump,224
2020-03-23,Fox,Trump,803
2020-03-23,NBC,Trump,217
2020-03-23,NewYorkTimes,Trump,456
2020-03-23,Politico,Trump,1410
2020-03-23,WashingtonTimes,Trump,616
2020-03-24,AP,Trump,345
2020-03-24,Breitbart,Trump,201
2020-03-24,Buzzfeed,Trump,441
2020-03-24,Fox,Trump,1768
2020-03-24,NBC,Trump,1429
2020-03-24,NewYorkTimes,Trump,354
2020-03-24,Politico,Trump,3072
2020-03-24,WashingtonTimes,Trump,819
2020-03-25,AP,Trump,203
2020-03-25,Breitbart,Trump,103
2020-03-25,Buzzfeed,Trump,187
2020-03-25,Fox,Trump,972
2020-03-25,NBC,Trump,649
2020-03-25,NewYorkTimes,Trump,78
2020-03-25,Politico,Trump,1848
2020-03-25,WashingtonTimes,Trump,504
2020-03-26,AP,Trump,946
2020-03-26,Breitbart,Trump,128
2020-03-26,Fox,Trump,540
2020-03-26,NBC,Trump,697
2020-03-26,NewYorkTimes,Trump,5
2020-03-26,Politico,Trump,735
2020-03-26,WashingtonTimes,Trump,582
2020-03-27,AP,Trump,694
2020-03-27,Breitbart,Trump,182
2020-03-27,Buzzfeed,Trump,108
2020-03-27,Fox,Trump,907
2020-03-27,NBC,Trump,630
2020-03-27,NewYorkTimes,Trump,285
2020-03-27,Politico,Trump,1560
2020-03-27,WashingtonTimes,Trump,761
2020-03-28,AP,Trump,461
2020-03-28,Breitbart,Trump,75
2020-03-28,Buzzfeed,Trump,10
2020-03-28,Fox,Trump,248
2020-03-28,NBC,Trump,212
2020-03-28,NewYorkTimes,Trump,200
2020-03-28,Politico,Trump,572
2020-03-28,WashingtonTimes,Trump,211
2020-03-29,AP,Trump,237
2020-03-29,Breitbart,Trump,77
2020-03-29,Buzzfeed,Trump,5
2020-03-29,Fox,Trump,680
2020-03-29,NBC,Trump,405
2020-03-29,NewYorkTimes,Trump,268
2020-03-29,Politico,Trump,288
2020-03-29,WashingtonTimes,Trump,310
2020-03-30,AP,Trump,594
2020-03-30,Breitbart,Trump,93
2020-03-30,Buzzfeed,Trump,15
2020-03-30,Fox,Trump,644
2020-03-30,NBC,Trump,555
2020-03-30,NewYorkTimes,Trump,608
2020-03-30,Politico,Trump,556
2020-03-30,WashingtonTimes,Trump,320
2020-03-31,AP,Trump,504
2020-03-31,Breitbart,Trump,132
2020-03-31,Buzzfeed,Trump,50
2020-03-31,Fox,Trump,632
2020-03-31,NBC,Trump,440
2020-03-31,NewYorkTimes,Trump,164
2020-03-31,Politico,Trump,732
2020-03-31,WashingtonTimes,Trump,715
2020-04-01,AP,Trump,630
2020-04-01,Breitbart,Trump,99
2020-04-01,Buzzfeed,Trump,140
2020-04-01,Fox,Trump,666
2020-04-01,NBC,Trump,396
2020-04-01,NewYorkTimes,Trump,256
2020-04-01,Politico,Trump,1184
2020-04-01,WashingtonTimes,Trump,265
2020-04-02,AP,Trump,552
2020-04-02,Breitbart,Trump,132
2020-04-02,Fox,Trump,738
2020-04-02,NBC,Trump,959
2020-04-02,NewYorkTimes,Trump,324
2020-04-02,Politico,Trump,1072
2020-04-02,WashingtonTimes,Trump,440
2020-04-03,AP,Trump,449
2020-04-03,Breitbart,Trump,129
2020-04-03,Buzzfeed,Trump,109
2020-04-03,Fox,Trump,585
2020-04-03,NBC,Trump,451
2020-04-03,NewYorkTimes,Trump,46
2020-04-03,Politico,Trump,1379
2020-04-03,WashingtonTimes,Trump,920
2020-04-04,AP,Trump,157
2020-04-04,Breitbart,Trump,66
2020-04-04,Buzzfeed,Trump,69
2020-04-04,Fox,Trump,148
2020-04-04,NBC,Trump,358
2020-04-04,NewYorkTimes,Trump,56
2020-04-04,Politico,Trump,220
2020-04-04,WashingtonTimes,Trump,171
2020-04-05,AP,Trump,220
2020-04-05,Breitbart,Trump,63
2020-04-05,Fox,Trump,136
2020-04-05,NBC,Trump,186
2020-04-05,NewYorkTimes,Trump,86
2020-04-05,Politico,Trump,338
2020-04-05,WashingtonTimes,Trump,468
2020-04-06,AP,Trump,220
2020-04-06,Breitbart,Trump,124
2020-04-06,Buzzfeed,Trump,6
2020-04-06,Fox,Trump,539
2020-04-06,NBC,Trump,285
2020-04-06,NewYorkTimes,Trump,206
2020-04-06,Politico,Trump,610
2020-04-06,WashingtonTimes,Trump,447
2020-04-07,AP,Trump,107
2020-04-07,Breitbart,Trump,76
