article_text,article_title,date,link,publisher
"WASHINGTON (AP) — The Democratic-controlled House, with President Trump’s support, early Saturday passed a bill to provide free testing for the coronavirus, as well as paid sick and family leave, strengthened unemployment insurance and increased food aid to ease the hardship on families. The vote was 363-40. The legislation will be taken up by the Senate next week. It would require paid leave for workers who contract the virus or who care for those who do and additional food aid for the poor and senior citizens. For most people, the virus causes only mild or moderate symptoms, such as fever and cough. For some, it causes more severe illness, including pneumonia. The vast majority of people recover from the virus. The legislation includes: FREE CORONAVIRUS TESTING It requires private health insurance plans to provide free coronavirus testing and waives cost-sharing rules for testing provided to people covered by Medicare, Medicaid and federal retirement programs. Another $1 billion is provided to test people without health insurance. It boosts federal matching funds to state Medicaid programs by 6.2% to ease the financial strain on states. PAID SICK/FAMILY LEAVE It establishes a temporary coronavirus-related sick leave benefit paid by employers with fewer than 500 workers. Workers with the coronavirus would receive 100% or their wages if they have the coronavirus or are self-isolating and two-thirds of their pay when caring for family members. The benefit would expire in January 2021. It also permits 12 weeks of job-protected family or medical leave at two-thirds pay, though the first 14 days of the extended leave would be unpaid. In both cases, businesses would be reimbursed by the federal government through a refundable tax credit. FOOD AID It provides $1.3 billion in emergency food aid for low-income pregnant women and their young children, senior citizens and food banks. It allows states to provide food stamps to make up for lost school lunch benefits if their children are kept home from school and directs $100 million of the funds to U.S. territories. UNEMPLOYMENT BENEFITS Workers laid off because of the coronavirus outbreak are already eligible for unemployment benefits, but the legislation provides $1 billion for additional caseloads and administrative costs to encourage temporarily furloughed workers to obtain unemployment benefits. PROTECTION FOR FIRST RESPONDERS The Occupational Safety and Health Administration would be required to issue a temporary rule requiring increased protections against the coronavirus. U.S House APPROVES #CoronaVirus Economic Aid Package, 363-40. pic.twitter.com/0eS4hA2LoS ___ The Associated Press receives support for health and science coverage from the Howard Hughes Medical Institute’s Department of Science Education. The AP is solely responsible for all content.  ","House passes bipartisan coronavirus relief bill: Free testing, paid sick leave","Saturday, March 14, 2020",https://www.washingtontimes.com/news/2020/mar/14/house-passes-bipartisan-bill-provide-relief-americ/,washington_times
"The federal appeals court in Washington, D.C., granted a request by House Democrats Friday to rehear cases over testimony from former White House Counsel Don McGahn and funds for President Trump’s border wall. Both cases are scheduled to be argued before the full circuit court on April 28. Democratic lawmakers in Congress have argued the president violated federal law by reallocating more than $8 billion from the Department of Defense to build the border wall. They also claim Mr. Trump abused his authority by denying the lawmakers from receiving testimony from Mr. McGahn during the impeachment inquiry.  ",Full appeals court to hear challenges over border wall funds and Don McGahn testimony,"Friday, March 13, 2020",https://www.washingtontimes.com/news/2020/mar/13/full-appeals-court-hear-challenges-over-border-wal/,washington_times
"The top Democrat on the Senate Foreign Relations Committee is calling on the Trump administration to “admit” that its ongoing pressure campaign against Iran is not working. The comments from Sen. Robert Menendez, New Jersey Democrat, came just days after Iranian-backed military group Kata’ib Hezbollah launched an attack on a base north of Baghdad that killed two U.S. service members and one British soldier and wounded 14 others. The U.S. responded Thursday evening with airstrikes on five of the group’s weapons storage facilities that the Pentagon says “will degrade Kata’ib Hezbollah’s ability to conduct future strikes.” In a statement Friday evening, Mr. Menendez, the ranking member of the committee, said “that in attributing Wednesday’s attacks to Iranian-backed militia groups, the Trump Administration must admit its efforts to deter Iranian aggression are failing and American service members are paying the ultimate sacrifice.” The escalation in tension between Washington and Tehran quickly resurfaced just as the House approved a war powers resolution aimed at limiting the president’s authority to use force against Iran without explicit congressional approval. The bill — while expected to be vetoed by President Trump — “directs the President to terminate the use of United States Armed Forces for hostilities against the Islamic Republic of Iran or any part of its government or military, unless explicitly authorized by a declaration of war or specific authorization for use of military force against Iran.” Mr. Menendez highlighted the bipartisan support for the resolution that allowed it to be approved by the Republican-held Senate and said this majority “has made clear it does not support an unnecessary war with Iran.”  ",Menendez calls on Trump to admit Iranian deterrence efforts are failing,"Friday, March 13, 2020",https://www.washingtontimes.com/news/2020/mar/13/menendez-calls-on-trump-to-admit-iranian-deterrenc/,washington_times
"In his quest to regain a Senate seat he once held, Jeff Sessions may have lost the endorsement he most coveted — the president’s — but he is racking up stamps of approval from many players in the conservative establishment. On Friday, the National Rifle Association backed Mr. Sessions’ bid to return to the Senate, an uphill fight in which the former attorney general trailed one time Auburn football coach Tommy Tuberville in the March 3 primary. The two are now heading into a March 31 Republican runoff. The NRA’s backing came just two days after President Trump gave Mr. Tuberville his enthusiastic endorsement, driving a final stake through any pretension Mr. Trump and Mr. Sessions maintained a political alliance or friendship. In Mr. Trump’s eyes, Mr. Sessions committed an unforgivable betrayal when, shortly after he got the attorney general position, he recused himself from the investigation into fraudulent charges the Trump campaign colluded with Russia. That led to the appointment of a special prosecutor who packed his office with supporters of Hillary Clinton and generally haunted the first three years of the Trump administration. No evidence of collusion was ever found. Nevertheless, the Sessions campaign has crafted itself as Trump loyalists, all behind a conservative lawmaker who could advance the president’s agenda better than a political neophyte and Alabama carpetbagger like Mr. Tuberville. “Powerful, well-funded national forces are bent on destroying our right to keep and bear arms,” Mr. Sessions said. “Chuck Schumer and Nancy Pelosi are working day and night to gut the Second Amendment. I have fought Schumer and Pelosi on this issue, and I have won, and I will do so again when I return to the Senate. “Alabama cannot afford to send an untested, unproven, weak-kneed greenhorn to the Senate who will get run over by Schumer and Pelosi,” Mr. Sessions added. Jason Ouimet, who heads the NRA’s Political Victory Fund, said endorsing Mr. Sessions was an easy choice. “Based on your strong leadership on Second Amendment issues as a U.S. senator and U.S. attorney general, you have earned the highest attainable rating, an A+ from NRA-PVF,” Mr. Ouimet said in the announcement. The winner of the Tuberville-Sessions runoff will face Democratic Sen. Doug Jones in November. Mr. Jones, who rode to office on a tide of out-of-state money in a 2017 special election to replace Mr. Sessions, is rated the most vulnerable senate incumbent by most political analysts. The myriad endorsements Mr. Sessions has collected reflect how the conservative establishment trusts him after he spent decades in Washington as a rock-ribbed Republican. Earlier this week, Mr. Sessions garnered support from the Eagle Forum PAC, which joined the endorsements from the Family Research Council PAC, the National Immigration and Customs Enforcement Council, the Alabama Forestry Association and several conservative luminaries in the Yellowhammer state. But the establishment’s muscle may be hard pressed to push Mr. Sessions over the hurdle of Mr. Trump’s endorsement of his opponent, and the fact the March 3 primary saw a plurality of voters prefer either Mr. Tuberville or Republican Rep. Bradley Byrne who finished third.  ",Jeff Sessions gets the conservative establishment nod — but not the president’s,"Friday, March 13, 2020",https://www.washingtontimes.com/news/2020/mar/13/jeff-sessions-gets-the-conservative-establishment-/,washington_times
"Count Sen. Bernie Sanders among the people who think President Trump should get tested for the coronavirus. During a press conference in Burlington, Vt., Mr. Sanders was asked whether Mr. Trump should get tested and release those results after reportedly  being around people who have been diagnosed with the virus. “I would,” Mr. Sanders said. “To the best of my knowledge I have not been in proximity to somebody who had the virus. If I knew that I was, I would get tested, and I think that holds true for the president.” During a press conference at The White House Friday, Mr. Trump said he sees no reason for that to happen because he has not exhibited symptoms of COVID-19.  ",Sanders says Trump should get tested for coronavirus,"Friday, March 13, 2020",https://www.washingtontimes.com/news/2020/mar/13/bernie-sanders-says-trump-should-get-tested-corona/,washington_times
"President Trump declared a national emergency to deal with the new coronavirus that’s swept the globe and hit the U.S., saying states will get federal money and face fewer obstacles in testing and caring for patients. “Two very big words,” Mr. Trump said from the White House Rose Garden. “No resource will be spared, nothing whatsoever.” The designation will invoke the Stafford Act and extend up to $50 billion in aid to states and municipalities. He also ordered states to activate emergency-operation plans. Mr. Trump said he is temporarily waiving interest on student loans held by federal entities and that he directed the Department of Energy to buy up oil for the Strategic Petroleum Reserve. Also, his administration will give hospitals and health centers the flexibility to see patients from afar through telehealth and waive certain licensing requirements, so doctors can’t help areas that need them. He’s also waiving restrictions that limit the number of hospital beds in each facility or the length of a patient’s stay. Mr. Trump also revealed he plans to be tested for the virus. ",Trump declares national emergency to deal with coronavirus,"Friday, March 13, 2020",https://www.washingtontimes.com/news/2020/mar/13/trump-declares-national-emergency-deal-coronavirus/,washington_times
"The White House reached a sweeping agreement with congressional Democrats late Friday on a bill to provide relief to workers hurt by the coronavirus outbreak. “We are proud to have reached  an agreement with the Administration to resolve outstanding challenges,  and now will soon pass the Families First Coronavirus Response Act,”  House Speaker Nancy Pelosi wrote to her colleagues. After some last-minute wrangling, President Trump tweeted his support for the measure shortly before 9 p.m., clearing the way for a bipartisan vote. “This Bill will follow my direction for free CoronaVirus tests, and paid sick leave for our impacted American workers,” Mr. Trump said. “I have directed the Secretary of the Treasury and the Secretary of Labor to issue regulations that will provide flexibility so that in no way will Small Businesses be hurt.” He added, “I encourage all Republicans and Democrats to come together and VOTE YES! I will always put the health and well-being of American families FIRST. Look forward to signing the final Bill, ASAP!” Mrs. Pelosi had a dozen conversations with Treasury Secretary Steven T. Mnuchin throughout the day as they negotiated the details. The package includes free coronavirus testing for everyone who needs a test, including the uninsured; two  weeks of guaranteed paid sick leave, as well as increased family leave;  increased spending on  unemployment benefits; more money to provide  school lunches to students whose schools are closed; and an increase in  Medicaid funding. Mr. Trump had been pushing for a payroll tax cut through the end of the year, but Democrats opposed it. Getting the White House’s approval means the Republican-controlled Senate would likely approve the measure sometime next week. Lawmakers are planning to take up an even larger emergency response bill on the coronavirus in the weeks ahead. Congress has already approved an $8.3 billion measure to help states with their initial emergency health care responses.  ","White House, Democrats reach deal on coronavirus aid","Friday, March 13, 2020",https://www.washingtontimes.com/news/2020/mar/13/white-house-democrats-reach-deal-on-coronavirus-ai/,washington_times
"Sen. Bernard Sanders of Vermont said the coronavirus crisis is exposing gaps in the nation’s “cruel” and “dysfunctional” health care system that leaves millions of people without coverage when they need it most and millions of others more susceptible to contracting the virus. Mr. Sanders said the virus is helping the public come to grips with the fact that it is time to make fundamental changes to the economy and health care system that lifts up the working-class, calling for paid family leave, overhauled trade deals and a guarantee of health coverage. “In my view, the most cost-effective way to reform our dysfunctional and cruel system is to move to a Medicare for All single-payer health care system and I think in the midst of this crisis more and more Americans understand the truth of that,” Mr. Sanders said at a press conference in his hometown of Burlington, Vermont. “It is nearly impossible to believe that anyone can still think it is acceptable to continue with a health care system that leaves tens of millions of people uninsured.” “The cruelty and absurdity of that view is more obvious in the midst of this crisis,” he said. “Let’s be clear, the lack of health care and affordable medicine does not only threaten the health and well-being of the uninsured, it impacts everyone who comes in contact with them. In fact, what this crisis is beginning to teach us is that we are only as safe as the least insured person in America.” Fears over the virus have changed the contours of the 2020 presidential race, with Mr. Sanders and former Vice President Joe Biden taking the advice of health officials and deciding against holding campaign rallies and events with large numbers of people. Mr. Sanders and Mr. Biden are set to appear in their first one-on-one debate Sunday. Citing concerns over coronavirus, the Democratic National Committee and the event sponsors, CNN and Univision, announced the debate would be moved from Phoenix to Washington, D.C., and that there would be no live audience. Consequently, Mr. Sanders has relied on getting his message out at press conferences this week that have been streamed online and picked up by cable news networks. On Friday, Mr. Sanders said public health officials, doctors, and scientists should lead the response to the virus  - not politicians. The federal government must dramatically increase the availability of test kits, intensive care units, and doctors and medical personnel needed to combat the virus, while making sure the frontline workers are protected, he said. Mr. Sanders said the nation must take stock of the mistakes the government has made responding to the virus and what moves can be made to the federal government to make sure people are better equipped to face future challenges. Mr. Sanders drove home the point that he expects support for universal health care to increase and lamented how the nation’s trade deals have sent jobs overseas and made the nation reliant on foreign countries such as China for the supplies it needs to combat this sort of crisis. “People who are sick today, who woke up with symptoms of the coronavirus are saying, ‘You know I feel sick, but I can’t afford to go to a doctor,’ and when somebody is not treated for the virus, somebody who is unable to afford to go to that doctor, that means that the infection can spread to many others, putting us at risk,” Mr. Sanders said. “Now the lack of health insurance for many millions of people threatens other people as well.”  ","America ‘only as safe as the least insured person,’ Sanders says regarding coronavirus emergency","Friday, March 13, 2020",https://www.washingtontimes.com/news/2020/mar/13/coronavirus-only-safe-least-insured-bernie-sanders/,washington_times
"House Speaker Nancy Pelosi said Democrats will vote later Friday on a coronavirus relief package, with or without the support of the White House. “The American people expect and deserve a coordinated, science-based and whole-of-government response to keep them and their loved ones safe,” Mrs. Pelosi said at the Capitol. But she didn’t answer a reporter’s question about whether President Trump supports the bill. The president wants a cut in payroll taxes through the end of the year; Democrats haven’t included it in the measure. Mr. Trump said later that the White House was still negotiating with Democrats, but he wasn’t pleased with the bill. “We just don’t think they’re giving enough,” the president said. “They’re not doing what’s right for the country. We thought we had something, but all of a sudden they didn’t agree to certain things they had agreed to.” The package would make coronavirus testing free for everyone who needs it, allow for two weeks of paid sick leave and provide unemployment insurance for furloughed workers. “We can only defeat this outbreak if we have an accurate determination of its scale and scope, so that we can pursue the precise science-based response that is necessary to put families first,” Mrs. Pelosi said. Treasury Secretary Steven T. Mnuchin has been negotiating nearly round the clock with Mrs. Pelosi on the bill. They spoke eight times on Friday alone.  ",Pelosi says Democrats will hold vote on coronavirus package Friday,"Friday, March 13, 2020",https://www.washingtontimes.com/news/2020/mar/13/pelosi-says-democrats-will-hold-vote-coronavirus-p/,washington_times
"NEW ORLEANS — Louisiana postponed its scheduled presidential primary by two months Friday in response to the ongoing coronavirus health crisis, officials said.Secretary of State Kyle Ardoin announced the primary, slated to be held on April 4, will now be June 20.Mr. Ardoin is expected to provide more details at a press conference later Friday. While major professional and college sports events, along with many college campuses, have shut down, Louisiana is the first political event to be postponed because of the virus. The state had 33 presumptive cases of coronavirus as of Friday morning, with the biggest cluster of those — 23 — being New Orleans. Many of Louisiana’s Election Day commissioners are 65 or older, and to date the coronavirus has been most lethal to the elderly. In addition, 32 polling locations are in nursing homes of senior facilities, according to the secretary of state’s office. “This decision has been made out of an absolute abundance of caution for Louisiana’s voters, voting officials and the general public as a whole,” Mr. Ardoin said. The primary was formally switched when Mr. Ardoin’s request to move it to June 20 was approved by Gov. John Bel Edwards. Although it does not appear to have moved voting days because of health scares in the past, Louisiana has altered its election schedule because of major hurricanes and natural disasters, officials said.  ",Louisiana postpones next month’s presidential primary amid coronavirus fears,"Friday, March 13, 2020",https://www.washingtontimes.com/news/2020/mar/13/louisiana-postpones-its-presidential-primary-june-/,washington_times
